id1,id2,weight
calculus.n.03,pure_mathematics.n.01,1
quadratics.n.01,pure_mathematics.n.01,1
decomposition.n.01,pure_mathematics.n.01,1
projective_geometry.n.01,mathematics.n.01,1
analysis.n.05,mathematics.n.01,1
differential_calculus.n.01,pure_mathematics.n.01,1
matrix_algebra.n.01,pure_mathematics.n.01,1
linear_programming.n.01,applied_mathematics.n.01,1
calculus_of_variations.n.01,mathematics.n.01,1
linear_programming.n.01,mathematics.n.01,1
quadratics.n.01,mathematics.n.01,1
fractal_geometry.n.01,pure_mathematics.n.01,1
arithmetic.n.01,mathematics.n.01,1
galois_theory.n.01,pure_mathematics.n.01,1
negative_correlation.n.01,correlation.n.03,1
decomposition.n.01,mathematics.n.01,1
curvilinear_correlation.n.01,mathematics.n.01,1
integral_calculus.n.01,pure_mathematics.n.01,1
non-euclidean_geometry.n.01,mathematics.n.01,1
solid_geometry.n.01,pure_mathematics.n.01,1
galois_theory.n.01,group_theory.n.01,1
quadratics.n.01,algebra.n.01,1
curvilinear_correlation.n.01,applied_mathematics.n.01,1
analytic_geometry.n.01,mathematics.n.01,1
calculus.n.03,mathematics.n.01,1
calculus_of_variations.n.01,pure_mathematics.n.01,1
spherical_geometry.n.01,geometry.n.01,1
applied_mathematics.n.01,mathematics.n.01,1
correlation.n.03,applied_mathematics.n.01,1
trigonometry.n.01,pure_mathematics.n.01,1
metamathematics.n.01,mathematics.n.01,1
solid_geometry.n.01,geometry.n.01,1
spherical_geometry.n.01,mathematics.n.01,1
differential_calculus.n.01,mathematics.n.01,1
group_theory.n.01,pure_mathematics.n.01,1
probability_theory.n.01,mathematics.n.01,1
plane_geometry.n.01,pure_mathematics.n.01,1
statistics.n.01,mathematics.n.01,1
decomposition.n.01,algebra.n.01,1
numerical_analysis.n.01,mathematics.n.01,1
correlation.n.03,statistics.n.01,1
geometry.n.01,mathematics.n.01,1
elliptic_geometry.n.01,pure_mathematics.n.01,1
affine_geometry.n.01,mathematics.n.01,1
decomposition.n.01,vector_algebra.n.01,1
solid_geometry.n.01,mathematics.n.01,1
group_theory.n.01,mathematics.n.01,1
non-euclidean_geometry.n.01,pure_mathematics.n.01,1
triangulation.n.01,mathematics.n.01,1
biometrics.n.01,applied_mathematics.n.01,1
partial_correlation.n.01,correlation.n.03,1
triangulation.n.01,pure_mathematics.n.01,1
spurious_correlation.n.01,mathematics.n.01,1
nonparametric_statistics.n.01,mathematics.n.01,1
algorism.n.02,arithmetic.n.01,1
elliptic_geometry.n.01,geometry.n.01,1
linear_algebra.n.01,algebra.n.01,1
fractal_geometry.n.01,geometry.n.01,1
biometrics.n.01,statistics.n.01,1
elementary_geometry.n.01,pure_mathematics.n.01,1
integral_calculus.n.01,calculus.n.03,1
spherical_trigonometry.n.01,mathematics.n.01,1
trigonometry.n.01,mathematics.n.01,1
metamathematics.n.01,pure_mathematics.n.01,1
positive_correlation.n.01,mathematics.n.01,1
nonparametric_statistics.n.01,statistics.n.01,1
fourier_analysis.n.01,calculus.n.03,1
elliptic_geometry.n.01,non-euclidean_geometry.n.01,1
partial_correlation.n.01,statistics.n.01,1
integral_calculus.n.01,mathematics.n.01,1
positive_correlation.n.01,applied_mathematics.n.01,1
topology.n.03,pure_mathematics.n.01,1
triangulation.n.01,trigonometry.n.01,1
analysis.n.05,calculus.n.03,1
calculus_of_variations.n.01,calculus.n.03,1
matrix_algebra.n.01,algebra.n.01,1
spherical_trigonometry.n.01,trigonometry.n.01,1
positive_correlation.n.01,correlation.n.03,1
topology.n.03,mathematics.n.01,1
curvilinear_correlation.n.01,correlation.n.03,1
analytic_geometry.n.01,geometry.n.01,1
vector_algebra.n.01,algebra.n.01,1
algorism.n.02,pure_mathematics.n.01,1
curvilinear_correlation.n.01,statistics.n.01,1
analytic_geometry.n.01,pure_mathematics.n.01,1
spurious_correlation.n.01,statistics.n.01,1
projective_geometry.n.01,pure_mathematics.n.01,1
elementary_geometry.n.01,geometry.n.01,1
algebra.n.01,mathematics.n.01,1
vector_algebra.n.01,pure_mathematics.n.01,1
correlation.n.03,mathematics.n.01,1
partial_correlation.n.01,applied_mathematics.n.01,1
projective_geometry.n.01,geometry.n.01,1
plane_geometry.n.01,geometry.n.01,1
elementary_geometry.n.01,mathematics.n.01,1
hyperbolic_geometry.n.01,geometry.n.01,1
fourier_analysis.n.01,analysis.n.05,1
fourier_analysis.n.01,pure_mathematics.n.01,1
nonparametric_statistics.n.01,applied_mathematics.n.01,1
hyperbolic_geometry.n.01,non-euclidean_geometry.n.01,1
algebra.n.01,pure_mathematics.n.01,1
elliptic_geometry.n.01,mathematics.n.01,1
numerical_analysis.n.01,pure_mathematics.n.01,1
set_theory.n.01,mathematics.n.01,1
first-order_correlation.n.01,mathematics.n.01,1
positive_correlation.n.01,statistics.n.01,1
galois_theory.n.01,mathematics.n.01,1
differential_calculus.n.01,calculus.n.03,1
linear_algebra.n.01,mathematics.n.01,1
