id1,id2,weight
solid_geometry.n.01,science.n.01,1
geography.n.01,natural_science.n.01,1
protozoology.n.01,life_science.n.01,1
radio_astronomy.n.01,astronomy.n.01,1
fluid_mechanics.n.01,science.n.01,1
paleodendrology.n.01,paleobotany.n.01,1
internal_medicine.n.01,science.n.01,1
neuroanatomy.n.01,morphology.n.01,1
cognitive_semantics.n.01,linguistics.n.01,1
gastroenterology.n.01,life_science.n.01,1
calculus.n.03,pure_mathematics.n.01,1
geriatrics.n.01,medicine.n.01,1
therapeutics.n.01,science.n.01,1
developmental_anatomy.n.01,morphology.n.01,1
orthoepy.n.02,science.n.01,1
veterinary_medicine.n.01,medicine.n.01,1
decomposition.n.01,science.n.01,1
marine_archeology.n.01,science.n.01,1
geology.n.01,earth_science.n.01,1
microbiology.n.01,science.n.01,1
lepidopterology.n.01,biology.n.01,1
pomology.n.01,science.n.01,1
fractal_geometry.n.01,science.n.01,1
quadratics.n.01,pure_mathematics.n.01,1
phonetics.n.01,science.n.01,1
nosology.n.01,medical_science.n.01,1
serology.n.01,natural_science.n.01,1
computational_linguistics.n.01,science.n.01,1
functional_anatomy.n.01,natural_science.n.01,1
enzymology.n.01,science.n.01,1
mining_geology.n.01,natural_science.n.01,1
meteorology.n.02,science.n.01,1
mythology.n.02,science.n.01,1
microelectronics.n.01,physics.n.01,1
assyriology.n.01,anthropology.n.01,1
paleodendrology.n.01,biology.n.01,1
behaviorism.n.01,psychology.n.01,1
mineralogy.n.01,science.n.01,1
decomposition.n.01,pure_mathematics.n.01,1
limnology.n.01,natural_science.n.01,1
surface_chemistry.n.01,chemistry.n.01,1
geodesy.n.01,geology.n.01,1
thermodynamics.n.01,science.n.01,1
astrometry.n.01,physics.n.01,1
conchology.n.01,biology.n.01,1
derivational_morphology.n.01,morphology.n.02,1
assyriology.n.01,archeology.n.01,1
femtochemistry.n.01,science.n.01,1
genetic_engineering.n.01,biotechnology.n.01,1
tropical_medicine.n.01,medical_science.n.01,1
