id1,id2,weight
solid_geometry.n.01,science.n.01,1
business.n.09,performing_arts.n.01,1
psychopharmacology.n.01,discipline.n.01,1
fractal_geometry.n.01,discipline.n.01,1
geography.n.01,natural_science.n.01,1
jam_session.n.01,musical_performance.n.01,1
protozoology.n.01,life_science.n.01,1
animatronics.n.01,robotics.n.01,1
parody.n.02,humanistic_discipline.n.01,1
petrology.n.01,knowledge_domain.n.01,1
engineering.n.02,discipline.n.01,1
cryptanalysis.n.01,knowledge_domain.n.01,1
pavane.n.02,humanistic_discipline.n.01,1
radio_astronomy.n.01,astronomy.n.01,1
space_medicine.n.01,knowledge_domain.n.01,1
oology.n.01,discipline.n.01,1
interpretive_dance.n.01,knowledge_domain.n.01,1
fluid_mechanics.n.01,science.n.01,1
modern_dance.n.01,humanistic_discipline.n.01,1
paleodendrology.n.01,paleobotany.n.01,1
internal_medicine.n.01,science.n.01,1
surgery.n.01,discipline.n.01,1
neuroanatomy.n.01,morphology.n.01,1
title_role.n.01,performing_arts.n.01,1
cognitive_semantics.n.01,linguistics.n.01,1
clog_dance.n.01,tap_dancing.n.01,1
communications.n.01,discipline.n.01,1
skit.n.01,discipline.n.01,1
gastroenterology.n.01,life_science.n.01,1
projective_geometry.n.01,knowledge_domain.n.01,1
calculus.n.03,pure_mathematics.n.01,1
biomedicine.n.01,discipline.n.01,1
spherical_trigonometry.n.01,discipline.n.01,1
protohistory.n.01,discipline.n.01,1
geriatrics.n.01,medicine.n.01,1
syntax.n.03,knowledge_domain.n.01,1
therapeutics.n.01,science.n.01,1
developmental_anatomy.n.01,morphology.n.01,1
orthoepy.n.02,science.n.01,1
metaphysics.n.01,discipline.n.01,1
veterinary_medicine.n.01,medicine.n.01,1
nonparametric_statistics.n.01,discipline.n.01,1
scat.n.01,musical_performance.n.01,1
decomposition.n.01,science.n.01,1
villain.n.02,portrayal.n.02,1
marine_archeology.n.01,science.n.01,1
geology.n.01,earth_science.n.01,1
microbiology.n.01,science.n.01,1
lepidopterology.n.01,biology.n.01,1
jurisprudence.n.01,philosophy.n.02,1
minuet.n.01,ballroom_dancing.n.01,1
habanera.n.02,performing_arts.n.01,1
pomology.n.01,science.n.01,1
fractal_geometry.n.01,science.n.01,1
dermatology.n.01,knowledge_domain.n.01,1
gross_anatomy.n.01,discipline.n.01,1
quadratics.n.01,pure_mathematics.n.01,1
phonetics.n.01,science.n.01,1
nosology.n.01,medical_science.n.01,1
paleopathology.n.01,knowledge_domain.n.01,1
serology.n.01,natural_science.n.01,1
applied_psychology.n.01,knowledge_domain.n.01,1
telerobotics.n.01,artificial_intelligence.n.01,1
computational_linguistics.n.01,science.n.01,1
functional_anatomy.n.01,natural_science.n.01,1
watercolor.n.04,discipline.n.01,1
paso_doble.n.01,social_dancing.n.01,1
pas_seul.n.01,dancing.n.01,1
enzymology.n.01,science.n.01,1
hyperbolic_geometry.n.01,knowledge_domain.n.01,1
modal_logic.n.01,logic.n.01,1
mining_geology.n.01,natural_science.n.01,1
gavotte.n.01,discipline.n.01,1
meteorology.n.02,science.n.01,1
mythology.n.02,science.n.01,1
transposition.n.07,humanistic_discipline.n.01,1
microelectronics.n.01,physics.n.01,1
romanticism.n.02,humanistic_discipline.n.01,1
intonation.n.03,musical_performance.n.01,1
pteridology.n.01,knowledge_domain.n.01,1
geostrategy.n.01,knowledge_domain.n.01,1
radiochemistry.n.01,discipline.n.01,1
conga.n.02,ballroom_dancing.n.01,1
assyriology.n.01,anthropology.n.01,1
panto.n.01,knowledge_domain.n.01,1
paleodendrology.n.01,biology.n.01,1
behaviorism.n.01,psychology.n.01,1
bunny_hug.n.01,discipline.n.01,1
calculus.n.03,discipline.n.01,1
mineralogy.n.01,science.n.01,1
paleobotany.n.01,discipline.n.01,1
jam_session.n.01,performing_arts.n.01,1
physical_anthropology.n.01,knowledge_domain.n.01,1
scat.n.01,discipline.n.01,1
geodesy.n.01,discipline.n.01,1
decomposition.n.01,pure_mathematics.n.01,1
english.n.03,discipline.n.01,1
limnology.n.01,natural_science.n.01,1
decomposition.n.01,knowledge_domain.n.01,1
surface_chemistry.n.01,chemistry.n.01,1
primatology.n.01,knowledge_domain.n.01,1
karaoke.n.01,musical_performance.n.01,1
geodesy.n.01,geology.n.01,1
farandole.n.01,humanistic_discipline.n.01,1
geography.n.01,discipline.n.01,1
thermodynamics.n.01,science.n.01,1
fandango.n.01,social_dancing.n.01,1
