id1,id2,weight
wether.n.01,sheep.n.01,1
red_wolf.n.01,canine.n.02,1
chiacoan_peccary.n.01,placental.n.01,1
siamang.n.01,placental.n.01,1
remount.n.01,mammal.n.01,1
miniature_pinscher.n.01,mammal.n.01,1
barren_ground_caribou.n.01,placental.n.01,1
sennenhunde.n.01,canine.n.02,1
dormouse.n.01,rodent.n.01,1
water_buffalo.n.01,bovid.n.01,1
australopithecus_africanus.n.01,mammal.n.01,1
homo_sapiens_sapiens.n.01,hominid.n.01,1
walker_hound.n.01,dog.n.01,1
pangolin.n.01,placental.n.01,1
alaska_fur_seal.n.01,seal.n.09,1
palm_cat.n.01,placental.n.01,1
chacma.n.01,old_world_monkey.n.01,1
meadow_vole.n.01,rodent.n.01,1
domestic_ass.n.01,mammal.n.01,1
kob.n.01,waterbuck.n.01,1
domestic_goat.n.01,ruminant.n.01,1
baboon.n.01,monkey.n.01,1
bronco.n.01,ungulate.n.01,1
samoyed.n.03,canine.n.02,1
anthropoid.n.02,primate.n.02,1
sled_dog.n.01,mammal.n.01,1
polo_pony.n.01,ungulate.n.01,1
miniature_schnauzer.n.01,terrier.n.01,1
farm_horse.n.01,equine.n.01,1
blue_whale.n.01,whale.n.02,1
japanese_deer.n.01,ruminant.n.01,1
cheetah.n.01,big_cat.n.01,1
patas.n.01,primate.n.02,1
toy_poodle.n.01,placental.n.01,1
crab-eating_opossum.n.01,opossum.n.02,1
standard_schnauzer.n.01,dog.n.01,1
capuchin.n.02,new_world_monkey.n.01,1
leopardess.n.01,mammal.n.01,1
pichiciago.n.01,placental.n.01,1
pinniped_mammal.n.01,mammal.n.01,1
cotswold.n.01,bovid.n.01,1
woolly_mammoth.n.01,mammal.n.01,1
tarsier.n.01,mammal.n.01,1
sausage_dog.n.01,carnivore.n.01,1
collared_peccary.n.01,mammal.n.01,1
king_charles_spaniel.n.01,dog.n.01,1
thomson's_gazelle.n.01,mammal.n.01,1
cynopterus_sphinx.n.01,placental.n.01,1
pricket.n.02,ruminant.n.01,1
komondor.n.01,carnivore.n.01,1
rottweiler.n.01,mammal.n.01,1
maltese_dog.n.01,canine.n.02,1
dusky-footed_woodrat.n.01,placental.n.01,1
hack.n.08,horse.n.01,1
border_collie.n.01,carnivore.n.01,1
bellwether.n.02,placental.n.01,1
masked_shrew.n.01,shrew.n.02,1
lippizan.n.01,equine.n.01,1
harp_seal.n.01,mammal.n.01,1
phenacomys.n.01,rodent.n.01,1
