u,v
0,1
6,2190
12,8249
19,20
20,2155
21,2320
30,1324
36,37
39,11509
42,3071
44,6876
46,8370
55,967
58,15262
61,3672
64,10914
67,8262
76,999
79,2245
82,3940
89,261
93,3493
93,13611
101,102
104,5750
105,11160
113,12934
117,5662
125,7645
128,5491
129,12675
132,13993
135,8149
140,4850
148,2107
151,6724
162,163
165,15209
170,536
174,178
183,4355
193,14404
203,637
205,5770
206,5398
207,5461
208,5771
209,2124
210,736
210,7619
211,4792
213,214
214,217
215,222
216,3286
217,4450
217,12077
218,5800
219,7477
221,1231
222,1177
222,8685
224,725
226,6007
230,1350
230,8023
231,3710
231,11962
232,8689
235,1148
235,14984
237,3038
243,246
245,16453
250,502
255,1995
258,5365
260,8138
264,333
264,16018
268,8036
274,744
281,5048
300,1394
306,1375
321,10601
331,332
334,516
334,6037
336,4418
345,2009
347,356
351,5446
355,2752
359,737
365,3486
369,643
370,4829
373,8990
382,4737
385,7049
390,1788
393,442
395,4021
396,2403
398,1627
399,3246
405,7196
408,2844
415,2434
423,5562
435,1646
435,10412
441,4832
448,8637
456,458
460,2642
465,16644
468,777
468,5151
470,2103
472,1141
480,481
484,710
484,7808
485,6554
488,3579
493,11517
497,5507
499,8276
509,1669
513,816
516,4826
518,2124
522,524
528,12723
534,3723
534,14244
538,5260
544,1330
555,556
565,4759
572,1126
578,1231
581,4598
583,584
591,5938
596,7203
597,14020
601,9882
604,759
607,796
611,624
615,623
619,1218
627,1222
633,10443
637,2286
641,888
646,7109
650,7450
656,2940
661,1486
666,1803
674,1122
682,4397
692,9028
697,3249
704,5758
711,6102
714,4999
719,5663
722,1907
723,1259
725,5815
729,3898
735,5399
736,5792
744,2750
747,5509
747,15293
756,760
768,6217
775,3400
778,5770
782,16310
791,7432
795,1286
796,6409
801,4645
808,9592
816,817
819,2178
827,1125
832,1664
834,8177
837,6168
844,5033
847,7424
860,12761
868,8827
888,2069
897,5048
903,2374
912,914
912,4864
912,8961
912,14009
916,2084
925,2626
928,10804
935,936
944,2843
946,10646
954,1432
959,1786
960,6163
964,981
968,979
973,3204
979,1150
986,12042
998,6629
1004,7691
1010,9256
1012,7153
1015,11565
1019,3911
1024,1025
1026,12825
1029,10236
1034,1036
1042,9790
1044,8809
1049,1141
1051,1532
1053,8142
1056,11085
1062,6201
1071,4475
1078,2558
1086,7044
1096,3299
1122,1136
1125,3742
1129,5721
1136,5865
1140,4214
1143,8675
1148,2794
1150,8712
1153,3253
1159,12526
1170,1886
1177,7249
1182,1771
1186,9043
1192,1231
1198,1199
1203,1929
1208,8358
1217,6843
1225,6582
1231,3609
1231,7647
1231,12849
1243,5720
1249,11602
1254,4903
1263,4490
1264,1266
1271,1273
1273,1667
1278,7717
1282,2336
1291,1530
1293,1963
1310,5156
1318,1779
1324,1329
1331,6529
1337,11979
1351,3452
1353,4884
1353,10317
1353,15609
1364,1365
1371,10277
1390,1398
1402,1772
1409,7744
1422,15738
1429,6163
1432,3890
1437,13811
1450,3581
1453,3752
1455,6201
1458,1461
1463,10926
1468,6845
1473,3652
1475,3572
1475,14568
1483,6012
1488,6472
1495,5564
1498,6217
1499,14469
1511,6181
1519,5076
1524,1573
1525,2141
1529,1633
1531,4898
1532,11511
1535,2714
1539,3543
1546,2391
1552,2335
1554,5264
1563,6895
1568,1569
1570,5779
1580,16586
1583,11069
1588,2190
1590,1592
1595,4242
1597,5216
1599,3258
1599,8963
1604,6905
1605,6787
1609,1917
1618,9335
1629,4835
1633,3143
1636,3423
1662,1663
1669,1874
1670,15048
1676,11947
1686,2108
1698,4644
1705,1706
1712,11794
1722,9554
1730,3678
1736,15086
1746,3390
1752,4051
1771,3867
1774,9541
1781,2164
1788,15209
1793,9495
1796,5783
1797,4610
1801,2896
1804,4877
1829,7080
1842,2509
1849,1858
1858,4195
1871,2685
1876,5265
1886,1887
1892,1902
1897,2308
1900,7958
1905,3882
1908,4420
1910,3352
1919,2512
1925,1926
1931,8115
1934,15220
1941,2019
1958,3447
1959,10192
1971,2940
1976,3832
1979,3820
1988,5900
1992,3932
1994,11182
1996,3555
2004,4598
2010,13620
2021,2330
2026,5094
2035,12374
2044,2508
2051,9360
2067,8824
2084,10369
2095,4883
2104,2265
2113,2847
2119,4859
2124,5781
2135,7397
2142,3561
2147,10225
2151,5944
2158,9337
2164,7958
2165,7112
2174,2386
2176,2714
2182,16355
2191,5775
2195,8935
2204,6221
2205,13837
2217,4887
2222,2549
2227,4428
2229,11344
2239,9448
2256,2257
2266,6037
2276,8852
2281,2283
2285,4414
2287,2922
2293,13066
2301,8560
2302,12553
2312,14403
2320,11352
2328,4927
2332,9361
2337,2338
2338,3248
2338,9224
2349,2354
2360,3832
2371,2584
2374,14048
2386,2743
2392,2924
2396,3084
2402,3035
2404,3252
2407,2408
2417,8916
2439,3891
2479,6951
2496,4774
2509,11084
2513,3971
2517,2519
2519,13055
2535,6162
2543,2544
2553,2554
2561,7064
2563,12575
2568,6215
2571,8872
2587,4585
2599,11766
2616,5640
2626,3763
2642,4615
2656,10059
2667,12667
2678,3258
2679,4917
